dispatching_base_number,date,active_vehicles,trips,day,month,weekday
B02765,2015-02-23,665,5823,23,2,Monday
B02512,2015-02-23,238,1844,23,2,Monday
B02764,2015-02-24,3965,34686,24,2,Tuesday
B02512,2015-02-24,247,1869,24,2,Tuesday
B02598,2015-02-24,1061,9954,24,2,Tuesday
B02682,2015-02-24,1346,12497,24,2,Tuesday
B02617,2015-02-24,1456,13719,24,2,Tuesday
B02765,2015-02-24,698,6390,24,2,Tuesday
B02512,2015-02-25,246,1647,25,2,Wednesday
B02598,2015-02-25,1076,9405,25,2,Wednesday
B02765,2015-02-25,706,6178,25,2,Wednesday
B02682,2015-02-25,1395,12693,25,2,Wednesday
B02617,2015-02-25,1473,12811,25,2,Wednesday
B02764,2015-02-25,3934,31957,25,2,Wednesday
B02598,2015-02-26,1134,10661,26,2,Thursday
B02617,2015-02-26,1539,14461,26,2,Thursday
B02682,2015-02-26,1465,13814,26,2,Thursday
B02512,2015-02-26,243,1797,26,2,Thursday
B02765,2015-02-26,745,6744,26,2,Thursday
B02764,2015-02-26,4101,36091,26,2,Thursday
B02765,2015-02-27,786,7563,27,2,Friday
B02617,2015-02-27,1551,14677,27,2,Friday
B02598,2015-02-27,1114,10755,27,2,Friday
B02512,2015-02-27,272,2056,27,2,Friday
B02764,2015-02-27,4253,38780,27,2,Friday
B02682,2015-02-27,1510,14975,27,2,Friday
B02598,2015-02-28,994,10319,28,2,Saturday
B02764,2015-02-28,3952,39812,28,2,Saturday
B02617,2015-02-28,1372,14022,28,2,Saturday
B02682,2015-02-28,1386,14472,28,2,Saturday
B02512,2015-02-28,230,1803,28,2,Saturday
B02765,2015-02-28,747,7753,28,2,Saturday
